phone,androidBulletinDate,cadence,endOfLife,spVersion,screenId,comments,cadenceComments,dateOfFirstLiveRelease
HMD OffGrid ,2024-12-01,None,Dec-28,Jan-24,TA1698.GLO_001_003  ,Ramp Up Production,Accessory,"January 07, 2025"
HMD Fusion,2024-12-01,Monthly,Nov-27,Dec-24,00WW_1_440_SP01,SP Only (Android 14),Estimated,"January 06, 2025"
Nokia G11,2024-12-01,Monthly,May-25,Dec-24,00WW_3_530_SP14,SP Only (Android 13),,"January 06, 2025"
Nokia G21,2024-12-01,Monthly,Mar-25,Dec-24,00WW_3_530_SP14,SP Only (Android 13),,"January 06, 2025"
Nokia G22,2024-12-01,Monthly,Apr-26,Dec-24,00WW_3_590_SP03,SP Only (Android 14),,"January 03, 2025"
Nokia G11 Plus,2024-12-01,Monthly,Oct-25,Dec-24,00WW_3_500_SP02,SP Only (Android 14),,"January 03, 2025"
Nokia T10,2024-12-01,Monthly,Dec-25,Dec-24,00WW_3_400_SP02,SP Only (Android 14),,"January 03, 2025"
HMD T21,2024-12-01,Monthly,Mar-27,Dec-24,00WW_3_470_SP01,SP Only (Android 14),Estimated,"December 23, 2024"
Nokia C32,2024-12-01,Quarterly,May-25,Dec-24,00WW_1_790_SP01,SP Only (Android 13),,"December 23, 2024"
Nokia G60 5G,2024-12-01,Monthly,Dec-25,Dec-24,00WW_3_230,MR Update and SP (Android 14) ,,"December 23, 2024"
Nokia T21,2024-12-01,Monthly,Mar-26,Dec-24,00WW_3_470_SP01,SP Only (Android 14),,"December 23, 2024"
HMD Arc,2024-11-01,Quarterly,Feb-27,Nov-24,00WW_1_070,Ramp Up Production (Android 14 GO),Estimated   -  4GB Variant ,"December 20, 2024"
Nokia C32,2024-12-01,Quarterly,May-25,Dec-24,00WW_1_740_SP02,SP Only (Android 13),,"December 20, 2024"
Nokia XR20,2024-12-01,Monthly,Nov-25,Dec-24,00WW_4_170_SP04,SP Only (Android 14),,"December 20, 2024"
HMD Pulse Pro,2024-12-01,Quarterly,May-27,Dec-24,00WW_2_370,MR Upgrade and SP (Android 15) ,Estimated,"December 20, 2024"
HMD Pulse+,2024-12-01,Quarterly,May-27,Dec-24,00WW_2_370,MR Upgrade and SP (Android 15) ,Estimated,"December 20, 2024"
HMD Pulse,2024-12-01,Quarterly,May-27,Dec-24,00WW_2_370,MR Upgrade and SP (Android 15) ,Estimated,"December 20, 2024"
Nokia X30 5G,2024-12-01,Monthly,Jan-26,Dec-24,00WW_3_220_SP03,SP Only (Android 14),,"December 19, 2024"
Nokia G50,2024-12-01,Final guaranteed Security Patch Update,Dec-24,Dec-24,00WW_3_350_SP07,SP Only (Android 13),,"December 19, 2024"
HMD Arc,2024-11-01,Quarterly,Feb-27,Nov-24,00WW_1_110,Ramp Up Production (Android 14 GO),Estimated   -  2GB Variant ,"December 17, 2024"
HMD Key,2024-11-01,Quarterly,Mar-27,Nov-24,00WW_1_040,Ramp Up Production (Android 14 GO),Estimated,"December 16, 2024"
Nokia G42 5G,2024-12-01,Monthly,Aug-26,Dec-24,00WW_2_350_SP03,SP Only (Android 14),,"December 16, 2024"
Nokia C31,2024-12-01,Final guaranteed Security Patch Update,Dec-24,Dec-24,00WW_1_750_SP01,SP Only (Android 12),,"December 16, 2024"
Nokia G22,2024-11-01,Monthly,Apr-26,Nov-24,00WW_3_590_SP02,SP Only (Android 14),,"December 13, 2024"
Nokia G11 Plus,2024-11-01,Monthly,Oct-25,Nov-24,00WW_3_500_SP01,SP Only (Android 14),,"December 09, 2024"
Nokia C22,2024-11-01,Quarterly,Jun-25,Nov-24,00WW_1_660,MR Update and SP (Android 13 GO),,"December 09, 2024"
HMD Skyline,2024-11-01,Quarterly,Sep-27,Nov-24,00WW_1_570,MR Update and SP (Android 14),Estimated,"December 02, 2024"
Nokia G42 5G,2024-11-01,Monthly,Aug-26,Nov-24,00WW_2_350_SP02,SP Only (Android 14),,"December 02, 2024"
Nokia C32,2024-11-01,Quarterly,May-25,Nov-24,00WW_1_820,MR update and SP (Android 13),,"December 02, 2024"
HMD T21,2024-11-01,Monthly,Mar-27,Nov-24,00WW_3_470,MR Update and SP (Android 14),Estimated,"December 02, 2024"
Nokia T21,2024-11-01,Monthly,Mar-26,Nov-24,00WW_3_470,MR Update and SP (Android 14),,"December 02, 2024"
Nokia T10,2024-11-01,Monthly,Dec-25,Nov-24,00WW_3_400_SP01,SP Only (Android 14),,"December 02, 2024"
Nokia G60 5G,2024-11-01,Monthly,Dec-25,Nov-24,00WW_3_170_SP09,SP Only (Android 14),,"November 28, 2024"
Nokia G11,2024-11-01,Monthly,May-25,Nov-24,00WW_3_530_SP13,SP Only (Android 13),,"November 28, 2024"
Nokia G21,2024-11-01,Monthly,Mar-25,Nov-24,00WW_3_530_SP13,SP Only (Android 13),,"November 28, 2024"
HMD XR21,2024-11-01,Monthly,Mar-27,Nov-24,00WW_3_210_SP02,SP Only (Android 14),Estimated,"November 26, 2024"
Nokia XR21,2024-11-01,Monthly,Mar-27,Nov-24,00WW_3_210_SP02,SP Only (Android 14),Estimated,"November 26, 2024"
Nokia C12,2024-10-01,Quarterly,Apr-25,Oct-24,00WW_1_600,MR Update and SP (Android 12 GO),,"November 26, 2024"
Nokia X30 5G,2024-11-01,Monthly,Jan-26,Nov-24,00WW_3_220_SP02,SP Only (Android 14),,"November 26, 2024"
Nokia XR20,2024-11-01,Monthly,Nov-25,Nov-24,00WW_4_170_SP03,SP Only (Android 14),,"November 26, 2024"
HMD Arc,2024-11-01,Quarterly,Feb-27,Nov-24,00WW_1_060,Ramp Up Production (Android 14 GO),Estimated   -  2GB Variant ,"November 25, 2024"
HMD Arc,2024-11-01,Quarterly,Feb-27,Nov-24,00WW_1_040,Ramp Up Production (Android 14 GO),Estimated   -  4GB Variant ,"November 25, 2024"
Nokia T20,2024-11-01,Final guaranteed Security Patch Update,Nov-24,Nov-24,00WW_3_350_SP04,SP Only (Android 13),,"November 22, 2024"
Nokia G50,2024-11-01,Monthly,Dec-24,Nov-24,00WW_3_350_SP06,SP Only (Android 13),,"November 22, 2024"
HMD Pulse Pro,2024-10-01,Quarterly,May-27,Oct-24,00WW_1_330_SP02,SP Only (Android 14),Estimated,"November 22, 2024"
HMD Pulse+,2024-10-01,Quarterly,May-27,Oct-24,00WW_1_330_SP02,SP Only (Android 14),Estimated,"November 22, 2024"
HMD Pulse,2024-10-01,Quarterly,May-27,Oct-24,00WW_1_330_SP02,SP Only (Android 14),Estimated,"November 22, 2024"
HMD T21,2024-10-01,Monthly,Mar-27,Oct-24,00WW_2_490_SP01,SP Only (Android 13),Estimated,"November 21, 2024"
Nokia T21,2024-10-01,Monthly,Mar-26,Oct-24,00WW_2_490_SP01,SP Only (Android 13),,"November 21, 2024"
HMD Fusion,2024-09-01,Monthly,Nov-27,Sep-24,00WW_1_440,MR Update and SP (Android 14),Estimated,"November 18, 2024"
Nokia C31,2024-09-01,Quarterly,Dec-24,Sep-24,00WW_1_750,MR Update and SP (Android 12),,"November 18, 2024"
Nokia G11 Plus,2024-10-01,Monthly,Oct-25,Oct-24,00WW_3_500,MR Update and SP (Android 14) ,,"November 18, 2024"
HMD Crest Max 5G,2024-10-01,Quarterly,Oct-26,Oct-24,00WW_1_500,MR Update and SP (Android 14),Estimated,"November 18, 2024"
HMD Crest 5G,2024-10-01,Quarterly,Oct-26,Oct-24,00WW_1_500,MR Update and SP (Android 14),Estimated,"November 18, 2024"
HMD XR21,2024-10-01,Monthly,Mar-27,Oct-24,00WW_3_210_SP01,SP Only (Android 14),Estimated,"November 07, 2024"
Nokia XR21,2024-10-01,Monthly,Mar-27,Oct-24,00WW_3_210_SP01,SP Only (Android 14),Estimated,"November 07, 2024"
Nokia G11,2024-10-01,Monthly,May-25,Oct-24,00WW_3_530_SP12,SP Only (Android 13),,"November 07, 2024"
Nokia G21,2024-10-01,Monthly,Mar-25,Oct-24,00WW_3_530_SP12,SP Only (Android 13),,"November 07, 2024"
Nokia XR20,2024-10-01,Monthly,Nov-25,Oct-24,00WW_4_170_SP02,SP Only (Android 14),,"November 04, 2024"
Nokia X30 5G,2024-10-01,Monthly,Jan-26,Oct-24,00WW_3_220_SP01,SP Only (Android 14),,"November 04, 2024"
Nokia G22,2024-10-01,Monthly,Apr-26,Oct-24,00WW_3_590_SP01,SP Only (Android 14),,"November 04, 2024"
Nokia T10,2024-10-01,Monthly,Dec-25,Oct-24,00WW_3_400,MR Upgrade and SP (Android 14),,"November 01, 2024"
Nokia C31,2024-09-01,Quarterly,Dec-24,Sep-24,00WW_1_740,MR Update and SP (Android 12),,"October 30, 2024"
HMD T21,2024-10-01,Monthly,Mar-27,Oct-24,00WW_3_440,MR Upgrade and SP (Android 14),Estimated,"October 28, 2024"
Nokia T21,2024-10-01,Monthly,Mar-26,Oct-24,00WW_3_440,MR Upgrade and SP (Android 14),,"October 28, 2024"
Nokia G42 5G,2024-10-01,Monthly,Aug-26,Oct-24,00WW_2_350_SP01,SP Only (Android 14),,"October 28, 2024"
Nokia G60 5G,2024-10-01,Monthly,Dec-25,Oct-24,00WW_3_170_SP08,SP Only (Android 14),,"October 28, 2024"
Nokia G50,2024-10-01,Monthly,Dec-24,Oct-24,00WW_3_350_SP05,SP Only (Android 13),,"October 28, 2024"
Nokia T20,2024-10-01,Monthly,Nov-24,Oct-24,00WW_3_350_SP03,SP Only (Android 13),,"October 24, 2024"
HMD Aura,2024-10-01,Quarterly,Aug-26,Oct-24,00WW_1_100,MR Update and SP (Android 13),Estimated,"October 23, 2024"
HMD XR21,2024-09-01,Monthly,Mar-27,Sep-24,00WW_3_210,MR Update and SP (Android 14) ,Estimated,"October 21, 2024"
Nokia XR21,2024-09-01,Monthly,Mar-27,Sep-24,00WW_3_210,MR Update and SP (Android 14) ,Estimated,"October 21, 2024"
Nokia X30 5G,2024-09-01,Monthly,Jan-26,Sep-24,00WW_3_220,MR Update and SP (Android 14) ,,"October 15, 2024"
Nokia G22,2024-09-01,Monthly,Apr-26,Sep-24,00WW_3_590,MR Update and SP (Android 14) ,,"October 14, 2024"
Nokia G11 Plus,2024-09-01,Monthly,Oct-25,Sep-24,00WW_3_450_SP02,SP Only (Android 14),,"October 10, 2024"
Nokia C12,2024-10-01,Quarterly,Apr-25,Oct-24,00WW_1_540_SP02,SP Only (Android 12 GO),,"October 09, 2024"
Nokia C02,2024-10-01,Quarterly,May-25,Oct-24,00WW_1_400_SP01, SP Only (Android 12 GO),,"October 09, 2024"
Nokia G11,2024-09-01,Monthly,May-25,Sep-24,00WW_3_530_SP11,SP Only (Android 13),,"October 09, 2024"
Nokia G21,2024-09-01,Monthly,Mar-25,Sep-24,00WW_3_530_SP11,SP Only (Android 13),,"October 09, 2024"
Nokia C22,2024-09-01,Quarterly,Jun-25,Sep-24,00WW_1_630,MR Update and SP (Android 13 GO),,"October 08, 2024"
Nokia C32,2024-09-01,Quarterly,May-25,Sep-24,00WW_1_790,MR update and SP (Android 13),,"October 08, 2024"
HMD XR21,2024-09-01,Monthly,Mar-27,Sep-24,00WW_3_150_SP03,SP Only (Android 14),Estimated,"October 08, 2024"
Nokia XR21,2024-09-01,Monthly,Mar-27,Sep-24,00WW_3_150_SP03,SP Only (Android 14),Estimated,"October 08, 2024"
Nokia G50,2024-09-01,Monthly,Dec-24,Sep-24,00WW_3_350_SP04,SP Only (Android 13),,"October 04, 2024"
Nokia XR20,2024-09-01,Monthly,Nov-25,Sep-24,00WW_4_170_SP01,SP Only (Android 14),,"October 04, 2024"
Nokia X10,2024-09-01,Final guaranteed Security Patch Update,Sep-24,Sep-24,00WW_4_210_SP01,SP Only (Android 14),,"October 04, 2024"
Nokia T10,2024-09-01,Monthly,Dec-25,Sep-24,00WW_3_350_SP01,SP Only (Android 14),,"October 01, 2024"
Nokia T10,2024-08-01,Monthly,Dec-25,Aug-24,00WW_2_530_SP03,SP Only (Android 13),,"October 01, 2024"
HMD Skyline,2024-09-01,Quarterly,Sep-27,Sep-24,00WW_1_480,MR Update and SP (Android 14),Estimated,"September 30, 2024"
HMD Fusion,2024-09-01,Monthly,Nov-27,Sep-24,00WW_1_350,MR Update and SP (Android 14),Estimated,"September 30, 2024"
Nokia T21,2024-08-01,Monthly,Mar-26,Aug-24,00WW_3_340,MR Upgrade and SP (Android 14),,"September 24, 2024"
Nokia XR20,2024-08-01,Monthly,Nov-25,Aug-24,00WW_4_170,MR Upgrade and SP (Android 14),,"September 24, 2024"
Nokia X20,2024-08-01,Final guaranteed Security Patch Update,Jul-24,Aug-24,00WW_4_250,MR Upgrade and SP (Android 14),,"September 24, 2024"
Nokia X10,2024-08-01,Monthly,Sep-24,Aug-24,00WW_4_210,MR Upgrade and SP (Android 14),,"September 24, 2024"
Nokia T10,2024-08-01,Monthly,Dec-25,Aug-24,00WW_3_350,MR Upgrade and SP (Android 14),,"September 24, 2024"
HMD Aura,2024-08-01,Quarterly,Aug-26,Aug-24,00WW_1_090,MR Update and SP (Android 13),Estimated,"September 23, 2024"
Nokia G42 5G,2024-09-01,Monthly,Aug-26,Sep-24,00WW_2_350,MR Update and SP (Android 14) ,,"September 23, 2024"
Nokia T20,2024-09-01,Monthly,Nov-24,Sep-24,00WW_3_350_SP02,SP Only (Android 13),,"September 23, 2024"
Nokia G60 5G,2024-09-01,Monthly,Dec-25,Sep-24,00WW_3_170_SP07,SP Only (Android 14),,"September 13, 2024"
Nokia C22,2024-08-01,Quarterly,Jun-25,Aug-24,00WW_1_520_SP02,SP Only (Android 13 GO),,"September 10, 2024"
HMD Crest Max 5G,2024-08-01,Quarterly,Oct-26,Aug-24,00WW_1_400,MR Update and SP (Android 14),Estimated,"September 10, 2024"
HMD Crest 5G,2024-08-01,Quarterly,Oct-26,Aug-24,00WW_1_400,MR Update and SP (Android 14),Estimated,"September 10, 2024"
Nokia C22,2024-09-01,Quarterly,Jun-25,Sep-24,00WW_1_580_SP01,SP Only (Android 13 GO),,"September 10, 2024"
Nokia G42 5G,2024-09-01,Monthly,Aug-26,Sep-24,00WW_2_270_SP06,SP Only (Android 14),,"September 10, 2024"
Nokia X30 5G,2024-09-01,Monthly,Jan-26,Sep-24,00WW_3_180_SP07,SP Only (Android 14),,"September 10, 2024"
Nokia C31,2024-09-01,Quarterly,Dec-24,Sep-24,00WW_1_340_SP03,SP Only (Android 12),,"September 09, 2024"
Nokia C32,2024-09-01,Quarterly,May-25,Sep-24,00WW_1_740_SP01,SP Only (Android 13),,"September 09, 2024"
HMD Pulse Pro,2024-08-01,Quarterly,May-27,Aug-24,00WW_1_330_SP01,SP Only (Android 14),Estimated,"September 09, 2024"
HMD Pulse+,2024-08-01,Quarterly,May-27,Aug-24,00WW_1_330_SP01,SP Only (Android 14),Estimated,"September 09, 2024"
HMD Pulse,2024-08-01,Quarterly,May-27,Aug-24,00WW_1_330_SP01,SP Only (Android 14),Estimated,"September 09, 2024"
Nokia G11,2024-08-01,Monthly,May-25,Aug-24,00WW_3_530_SP10,SP Only (Android 13),,"September 09, 2024"
Nokia G21,2024-08-01,Monthly,Mar-25,Aug-24,00WW_3_530_SP10,SP Only (Android 13),,"September 09, 2024"
HMD Fusion,2024-07-01,Monthly,Nov-27,Jul-24,00WW_1_170,MR Update and SP (Android 14),Estimated,"September 03, 2024"
HMD XR21,2024-08-01,Monthly,Mar-27,Aug-24,00WW_3_150_SP02,SP Only (Android 14),Estimated,"September 02, 2024"
Nokia XR21,2024-08-01,Monthly,Mar-27,Aug-24,00WW_3_150_SP02,SP Only (Android 14),Estimated,"September 02, 2024"
Nokia G22,2024-08-01,Monthly,Apr-26,Aug-24,00WW_2_520_SP02,SP Only (Android 13),,"August 30, 2024"
Nokia X10,2024-08-01,Monthly,Sep-24,Aug-24,00WW_3_400_SP09,SP Only (Android 13),,"August 30, 2024"
HMD Fusion,2024-07-01,Monthly,Nov-27,Jul-24,00WW_1_130,Ramp Up Production (Android 14),Estimated,"August 23, 2024"
Nokia C22,2024-07-01,Quarterly,Jun-25,Jul-24,00WW_1_610,MR Update and SP (Android 13 GO),,"August 22, 2024"
Nokia C32,2024-07-01,Quarterly,May-25,Jul-24,00WW_1_770,MR update and SP (Android 13),,"August 22, 2024"
Nokia G22,2024-08-01,Monthly,Apr-26,Aug-24,00WW_3_570_SP01,SP Only (Android 14),,"August 22, 2024"
HMD T21,2024-08-01,Monthly,Mar-27,Aug-24,00WW_2_490,MR Update and SP (Android 13),Estimated,"August 22, 2024"
Nokia T21,2024-08-01,Monthly,Mar-26,Aug-24,00WW_2_490,MR Update and SP (Android 13),,"August 22, 2024"
Nokia G11 Plus,2024-08-01,Monthly,Oct-25,Aug-24,00WW_3_450_SP01,SP Only (Android 14),,"August 22, 2024"
HMD Skyline,2024-07-01,Quarterly,Sep-27,Jul-24,00WW_1_380,MR Update and SP (Android 14),Estimated,"August 21, 2024"
Nokia T20,2024-08-01,Monthly,Nov-24,Aug-24,00WW_3_350_SP01,SP Only (Android 13),,"August 19, 2024"
Nokia T10,2024-07-01,Monthly,Dec-25,Jul-24,00WW_2_530_SP02,SP Only (Android 13),,"August 15, 2024"
Nokia G42 5G,2024-08-01,Monthly,Aug-26,Aug-24,00WW_2_270_SP05,SP Only (Android 14),,"August 14, 2024"
Nokia G60 5G,2024-08-01,Monthly,Dec-25,Aug-24,00WW_3_170_SP06,SP Only (Android 14),,"August 14, 2024"
Nokia X30 5G,2024-08-01,Monthly,Jan-26,Aug-24,00WW_3_180_SP06,SP Only (Android 14),,"August 14, 2024"
Nokia G50,2024-08-01,Monthly,Dec-24,Aug-24,00WW_3_350_SP03,SP Only (Android 13),,"August 14, 2024"
Nokia G11 Plus,2024-06-01,Monthly,Oct-25,Jun-24,00WW_3_450,MR Upgrade and SP (Android 14) ,,"August 08, 2024"
Nokia G22,2024-06-01,Monthly,Apr-26,Jun-24,00WW_3_570,MR Upgrade and SP (Android 14) ,,"August 08, 2024"
Nokia XR20,2024-08-01,Monthly,Nov-25,Aug-24,00WW_3_410_SP08,SP Only (Android 13),,"August 07, 2024"
Nokia G11,2024-07-01,Monthly,May-25,Jul-24,00WW_3_530_SP09,SP Only (Android 13),,"August 07, 2024"
Nokia G21,2024-07-01,Monthly,Mar-25,Jul-24,00WW_3_530_SP09,SP Only (Android 13),,"August 07, 2024"
Nokia G20,2024-07-01,Final guaranteed Security Patch Update,Jul-24,Jul-24,00WW_3_430_SP07,SP Only (Android 13),,"August 07, 2024"
Nokia G10,2024-07-01,Final guaranteed Security Patch Update,Jul-24,Jul-24,00WW_3_390_SP13,SP Only (Android 13),,"August 07, 2024"
HMD Crest Max 5G,2024-05-01,Quarterly,Oct-26,May-24,00WW_1_250,MR Update and SP (Android 14),Estimated,"August 06, 2024"
HMD Crest 5G,2024-05-01,Quarterly,Oct-26,May-24,00WW_1_250,MR Update and SP (Android 14),Estimated,"August 06, 2024"
Nokia C02,2024-07-01,Quarterly,May-25,Jul-24,00WW_1_400,MR Update and SP (Android 12 GO),,"August 05, 2024"
Nokia T20,2024-07-01,Monthly,Nov-24,Jul-24,00WW_3_350,MR Update and SP (Android 13),,"July 26, 2024"
Nokia G42 5G,2024-07-01,Monthly,Aug-26,Jul-24,00WW_2_270_SP04,SP Only (Android 14),,"July 23, 2024"
HMD Aura,2024-06-01,Quarterly,Aug-26,Jun-24,00WW_1_060,MR Update and SP (Android 13),Estimated,"July 22, 2024"
HMD Pulse Pro,2024-06-01,Quarterly,May-27,Jun-24,00WW_1_330,MR Update and SP (Android 14),Estimated,"July 22, 2024"
HMD Pulse+,2024-06-01,Quarterly,May-27,Jun-24,00WW_1_330,MR Update and SP (Android 14),Estimated,"July 22, 2024"
HMD Pulse,2024-06-01,Quarterly,May-27,Jun-24,00WW_1_330,MR Update and SP (Android 14),Estimated,"July 22, 2024"
HMD Crest Max 5G,2024-05-01,Quarterly,Oct-26,May-24,00WW_1_180,Ramp Up Production (Android 14),Estimated,"July 19, 2024"
HMD Crest 5G,2024-05-01,Quarterly,Oct-26,May-24,00WW_1_180,Ramp Up Production (Android 14),Estimated,"July 19, 2024"
Nokia G22,2024-06-01,Monthly,Apr-26,Jun-24,00WW_2_520_SP01,SP Only (Android 13),,"July 19, 2024"
HMD T21,2024-07-01,Monthly,Mar-27,Jul-24,00WW_2_470_SP01,SP Only (Android 13),Estimated,"July 15, 2024"
Nokia C32,2024-07-01,Quarterly,May-25,Jul-24,00WW_1_760,MR update and SP (Android 13),,"July 15, 2024"
Nokia C22,2024-07-01,Quarterly,Jun-25,Jul-24,00WW_1_600,MR Update and SP (Android 13 GO),,"July 15, 2024"
Nokia T21,2024-07-01,Monthly,Mar-26,Jul-24,00WW_2_470_SP01,SP Only (Android 13),,"July 15, 2024"
Nokia C12,2024-07-01,Quarterly,Apr-25,Jul-24,00WW_1_540_SP01,SP Only (Android 12 GO),,"July 15, 2024"
Nokia C2 2nd Edition,2024-07-01,Final guaranteed Security Patch Update,Jul-24,Jul-24,00WW_1_400_SP03,SP Only (Android 11 GO),,"July 15, 2024"
Nokia X30 5G,2024-07-01,Monthly,Jan-26,Jul-24,00WW_3_180_SP05,SP Only (Android 14),,"July 15, 2024"
Nokia G60 5G,2024-07-01,Monthly,Dec-25,Jul-24,00WW_3_170_SP05,SP Only (Android 14),,"July 15, 2024"
Nokia G11 Plus,2024-06-01,Monthly,Oct-25,Jun-24,00WW_2_560_SP08,SP Only (Android 13),,"July 10, 2024"
HMD Skyline,2024-06-01,Quarterly,Sep-27,Jun-24,00WW_1_280,MR Update and SP (Android 14),Estimated,"July 08, 2024"
HMD XR21,2024-07-01,Monthly,Mar-27,Jul-24,00WW_3_150_SP01,SP Only (Android 14),Estimated,"July 08, 2024"
Nokia XR21,2024-07-01,Monthly,Mar-27,Jul-24,00WW_3_150_SP01,SP Only (Android 14),Estimated,"July 08, 2024"
Nokia G20,2024-06-01,Monthly,Jul-24,Jun-24,00WW_3_430_SP06,SP Only (Android 13),,"July 08, 2024"
Nokia G10,2024-06-01,Monthly,Jul-24,Jun-24,00WW_3_390_SP12,SP Only (Android 13),,"July 08, 2024"
Nokia XR20,2024-07-01,Monthly,Nov-25,Jul-24,00WW_3_410_SP07,SP Only (Android 13),,"July 05, 2024"
Nokia G50,2024-07-01,Monthly,Dec-24,Jul-24,00WW_3_350_SP02,SP Only (Android 13),,"July 05, 2024"
Nokia X10,2024-07-01,Monthly,Sep-24,Jul-24,00WW_3_400_SP08,SP Only (Android 13),,"July 05, 2024"
Nokia X20,2024-07-01,Monthly,Jul-24,Jul-24,00WW_3_510_SP08,SP Only (Android 13),,"July 05, 2024"
Nokia T20,2024-06-01,Monthly,Nov-24,Jun-24,00WW_3_310_SP08,SP Only (Android 13),,"July 04, 2024"
Nokia G11,2024-06-01,Monthly,May-25,Jun-24,00WW_3_530_SP08,SP Only (Android 13),,"July 04, 2024"
Nokia G21,2024-06-01,Monthly,Mar-25,Jun-24,00WW_3_530_SP08,SP Only (Android 13),,"July 04, 2024"
HMD T21,2024-06-01,Monthly,Mar-27,Jun-24,00WW_2_470,MR Upgrade and SP (Android 13),Estimated,"June 27, 2024"
Nokia T21,2024-06-01,Monthly,Mar-26,Jun-24,00WW_2_470,MR Update and SP (Android 13),,"June 27, 2024"
HMD Skyline,2024-06-01,Quarterly,Sep-27,Jun-24,00WW_1_170,Ramp Up Production (Android 14),Estimated,"June 25, 2024"
Nokia G42 5G,2024-06-01,Monthly,Aug-26,Jun-24,00WW_2_270_SP03,SP Only (Android 14),,"June 24, 2024"
Nokia T10,2024-06-01,Monthly,Dec-25,Jun-24,00WW_2_530_SP01,SP Only (Android 13),,"June 24, 2024"
Nokia X30 5G,2024-06-01,Monthly,Jan-26,Jun-24,00WW_3_180_SP04,SP Only (Android 14),,"June 20, 2024"
Nokia G60 5G,2024-06-01,Monthly,Dec-25,Jun-24,00WW_3_170_SP04,SP Only (Android 14),,"June 20, 2024"
Nokia XR20,2024-06-01,Monthly,Nov-25,Jun-24,00WW_3_410_SP06,SP Only (Android 13),,"June 14, 2024"
Nokia G50,2024-06-01,Monthly,Dec-24,Jun-24,00WW_3_350_SP01,SP Only (Android 13),,"June 14, 2024"
Nokia X10,2024-06-01,Monthly,Sep-24,Jun-24,00WW_3_400_SP07,SP Only (Android 13),,"June 14, 2024"
Nokia X20,2024-06-01,Monthly,Jul-24,Jun-24,00WW_3_510_SP07,SP Only (Android 13),,"June 14, 2024"
Nokia C22,2024-06-01,Quarterly,Jun-25,Jun-24,00WW_1_580,MR Update and SP (Android 13 GO),,"June 14, 2024"
Nokia C32,2024-06-01,Quarterly,May-25,Jun-24,00WW_1_740,MR update and SP (Android 13),,"June 14, 2024"
HMD XR21,2024-05-01,Monthly,Mar-27,May-24,00WW_3_150,MR Upgrade and SP (Android 14) ,Estimated,"June 13, 2024"
Nokia XR21,2024-05-01,Monthly,Mar-27,May-24,00WW_3_150,MR Upgrade and SP (Android 14) ,Estimated,"June 13, 2024"
Nokia C31,2024-06-01,Quarterly,Dec-24,Jun-24,00WW_1_340_SP02,SP Only (Android 12),,"June 12, 2024"
Nokia C21 Plus,2024-06-01,Final guaranteed Security Patch Update,Jun-24,Jun-24,00WW_1_270_SP06,SP Only (Android 11 GO),,"June 12, 2024"
Nokia C21,2024-06-01,Final guaranteed Security Patch Update,Jun-24,Jun-24,00WW_1_300_SP03,SP Only (Android 11 GO),,"June 11, 2024"
Nokia G22,2024-05-01,Monthly,Apr-26,May-24,00WW_2_520,MR Update and SP (Android 13) ,,"June 10, 2024"
HMD XR21,2024-05-01,Monthly,Mar-27,May-24,00WW_2_510,MR Update and SP (Android 13),Estimated,"June 08, 2024"
Nokia XR21,2024-05-01,Monthly,Mar-27,May-24,00WW_2_510,MR Update and SP (Android 13),Estimated,"June 08, 2024"
HMD Pulse Pro,2024-05-01,Quarterly,May-27,May-24,00WW_1_210,MR Update and SP (Android 14),Estimated,"June 07, 2024"
HMD Pulse+,2024-05-01,Quarterly,May-27,May-24,00WW_1_210,MR Update and SP (Android 14),Estimated,"June 07, 2024"
HMD Pulse,2024-05-01,Quarterly,May-27,May-24,00WW_1_210,MR Update and SP (Android 14),Estimated,"June 07, 2024"
Nokia C2 2nd Edition,2024-06-01,Quarterly,Jul-24,Jun-24,00WW_1_400_SP02,SP Only (Android 11 GO),,"June 06, 2024"
Nokia G11,2024-05-01,Monthly,May-25,May-24,00WW_3_530_SP07,SP Only (Android 13),,"June 04, 2024"
Nokia G21,2024-05-01,Monthly,Mar-25,May-24,00WW_3_530_SP07,SP Only (Android 13),,"June 04, 2024"
Nokia G11 Plus,2024-05-01,Monthly,Oct-25,May-24,00WW_2_560_SP07,SP Only (Android 13),,"June 03, 2024"
Nokia G20,2024-05-01,Monthly,Jul-24,May-24,00WW_3_430_SP04,SP Only (Android 13),,"June 03, 2024"
Nokia G10,2024-05-01,Monthly,Jul-24,May-24,00WW_3_390_SP10,SP Only (Android 13),,"June 03, 2024"
Nokia T10,2024-05-01,Monthly,Dec-25,May-24,00WW_2_530,MR Update and SP (Android 13),,"May 31, 2024"
Nokia G50,2024-05-01,Monthly,Dec-24,May-24,00WW_3_350,MR Update and SP (Android 13),,"May 23, 2024"
HMD Aura,2024-04-01,Quarterly,Aug-26,Apr-24,00WW_1_040,Ramp Up Production (Android 13),Estimated,"May 21, 2024"
Nokia T20,2024-05-01,Monthly,Nov-24,May-24,00WW_3_310_SP07,SP Only (Android 13),,"May 20, 2024"
HMD Pulse Pro,2024-05-01,Quarterly,May-27,May-24,00WW_1_160,MR Update and SP (Android 14),Estimated,"May 17, 2024"
HMD Pulse+,2024-05-01,Quarterly,May-27,May-24,00WW_1_160,MR Update and SP (Android 14),Estimated,"May 17, 2024"
